Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a proceedings proceeding held on 2/8/2012 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(tro) (Entered: 03/20/2012)",notice official notice give official proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others",
"TRANSCRIPT of Proceedings re: Conference held on 9/9/2011 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Eve Giniger, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 4/26/2012. Redacted Transcript Deadline set for 5/7/2012. Release of Transcript Restriction set for 7/5/2012.(McGuirk, Kelly) (Entered: 04/02/2012)",conference hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,"Others, Motions",
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a Conference proceeding held on 9/9/11 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 04/02/2012)",notice official notice give official conference proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others, Motions",
ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F Higginson dated 4/2/2012 re: Request to reschedule the 4/3/2012 conference. ENDORSEMENT: Adjourned to 4/16/12 at 2pm in Courtroom 9B. (Signed by Magistrate Judge Frank Maas on 4/5/2012) (cd) (Entered: 04/06/2012),endorsed letter address request reschedule conference endorsement adjourn courtroom,,"Others, Motions",
"Set/Reset Hearings: Status Conference reset for 4/16/2012 at 02:00 PM in Courtroom 9B, 500 Pearl Street, New York, NY 10007 before Judge Paul G. Gardephe. (cd) (Entered: 04/06/2012)",reset hearing status conference reset pm courtroom pearl street new york,,Motions,
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 4/16/2012. (ft) (Entered: 04/18/2012),minute entry hold discovery hear hold,minute entry hold discovery hear hold,,
"ORDER: Brookfield may depose Mr. Herzog and Mr. Habayeb for an additional three hours each. Absent exceptional circumstances, questioning shall be limited to specific exhibits that have been identified in advance of the continued depositions. By April 23, 2012, Brookfield shall submit for my in camera review in the manner as set forth in this Order. By April 23, 2012, Brookfield also shall submit a memorandum of law regarding its claim that its Rule 30(b)( 6) notice to AIG requires an AIG witness to testify concerning steps that AIG's agents may have taken concerning a possible bankruptcy. AIG shall submit its response by April 30, 2012. A further conference shall be held on May 24, 2012, at 10:30 a.m., in Courtroom 20A. Additional relief as set forth in this Order. ( Status Conference set for 5/24/2012 at 10:30 AM in Courtroom 20A, 500 Pearl Street, New York, NY 10007 before Magistrate Judge Frank Maas.) (Signed by Magistrate Judge Frank Maas on 4/17/2012) Copies Mailed By Chambers. (pl) (Entered: 04/17/2012)",order depose mr mr hour absent exceptional circumstance question limit specific identify advance continue deposition camera manner order also memorandum law rule notice testify step agent possible bankruptcy response conference hold courtroom relief order,,"Notices, Other Answers, Answers to Complaints, Motions",
"TRANSCRIPT of Proceedings re: Conference held on 4/16/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Ann Hairston, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 5/17/2012. Redacted Transcript Deadline set for 5/29/2012. Release of Transcript Restriction set for 7/26/2012.(McGuirk, Kelly) (Entered: 04/23/2012)",conference hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,"Others, Motions",
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a Conference proceeding held on 4/16/2012 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 04/23/2012)",notice official notice give official conference proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others, Motions",
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Stephen L. Ascher dated 4/23/2012 re: Brookfield respectfully requests that the Court extend the deadline for Brookfield's submission of documents for in camera review, from Monday, April 23, 2012 to Friday, April 27, 2012. ENDORSEMENT: Approved. (Signed by Magistrate Judge Frank Maas on 4/23/2012) (lmb) (Entered: 04/23/2012)",endorsed letter address respectfully request extend deadline camera monday friday endorsement approve,,"Others, Motions",
"REVISED SCHEDULING ORDER: The parties must complete fact discovery no later than July 13, 2012. The parties shall complete depositions of fact witnesses by July 13, 2012. All expert discovery shall be completed by February 8, 2013. (Signed by Magistrate Judge Frank Maas on 4/23/2012) (mro) Modified on 4/27/2012 (mro). (Entered: 04/24/2012)",revise schedule order complete discovery complete deposition discovery complete,revise schedule order complete discovery complete deposition discovery complete,,revise_schedule order complete discovery complete deposition discovery complete
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higginson dated 4/23/12 re: Counsel writes on behalf of the parties to seek clarification of Your Honor's ruling concerning Brookfield's ability to continue the depositions of Messrs. Elias Habayeb and David Herzog. ENDORSEMENT: As to Point II, I should have been clearer: Brookfield wins! (Signed by Magistrate Judge Frank Maas on 4/23/2012) (mro) (Entered: 04/24/2012)",endorsed letter address clarification rule ability continue deposition messrs endorsement point ii clearer win,endorsed letter address clarification rule ability continue deposition messrs endorsement point ii clearer win,,endorsed_letter_address clarification rule ability continue deposition messrs endorsement point ii clearer win
"TRANSCRIPT of Proceedings re: CONFERECE held on 3/13/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Linda Fisher, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 5/29/2012. Redacted Transcript Deadline set for 6/7/2012. Release of Transcript Restriction set for 8/3/2012.(McGuirk, Kelly) (Entered: 05/02/2012)",conferece hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,Others,
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a CONFERNCE proceeding held on 3/13/12 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 05/02/2012)",notice official notice give official confernce proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others",
"DISCOVERY ORDER: I have reviewed in camera the materials submitted to me by Mr. Ascher relating to meetings of the Brookfield and Bryson boards, and direct that the items that are set forth in this Order, be disclosed to the defendant. Additionally, I have reviewed the November 1998 ""Summary of AIG Swaps."" Although that document may have been given to Mr. Bennett in order to educate him about the 1990 swaps so that he could provide legal advice, there is no indication that it was originally prepared for that purpose or at his request. Indeed, the most that Brookfield has been able to represent is that it is ""highly likely"" that the summary was given to Mr. Bennett. This is insufficient to establish that the document is protected by the attorney-client privilege. The summary consequently must be disclosed to AIG in its entirety. (Signed by Magistrate Judge Frank Maas on 5/4/2012) Copies Sent By Chambers. (pl) (Entered: 05/07/2012)",discovery order camera mr relating meeting board item order disclose additionally summary swap although give mr order educate swap could legal advice indication originally prepare purpose request indeed able represent highly likely summary give mr insufficient establish protected attorneyclient privilege summary consequently disclose entirety send,,"Others, Motions",
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higginson dated 5/17/2012 re: We write on behalf of the parties to jointly request that the previously-scheduled May 24, 2012 conference before Your Honor be rescheduled for June 5, 2012 at 3:00 P.M. As we informed Your Honor's law clerk yesterday, the parties have been working together to further develop the issues that we plan to submit to Your Honor and we believe the additional time requested will provide for a more efficient use of the Court's time. ENDORSEMENT: Granted. SO ORDERED. (Signed by Magistrate Judge Frank Maas on 5/22/2012) (djc) (Entered: 05/22/2012)",endorsed letter address jointly request previouslyscheduled conference reschedule p inform law yesterday work together develop plan believe request efficient use endorsement grant order,,"Others, Motions",
Set/Reset Hearings: Status Conference set for 6/5/2012 at 03:00 PM before Magistrate Judge Frank Maas. (djc) (Entered: 05/22/2012),reset hearing status conference pm,,Motions,
"DISCOVERY ORDER: Accordingly, Brookfield's letter-request that AIG be required to produce a Rule 30(b)(6) witness to testifY with respect to such matters is DENIED. (Signed by Magistrate Judge Frank Maas on 5/31/2012) (cd) (Entered: 06/01/2012)",discovery order letterrequest produce rule testify deny,discovery order letterrequest produce rule testify deny,,discovery order letterrequest produce rule testify deny
"NOTICE OF APPEARANCE by Joseph Peretz Fishman on behalf of Brookfield Asset Management, Inc., Brysons International, Ltd. (Fishman, Joseph) (Entered: 06/04/2012)",notice appearance,,Notices,
"ORDER. It is hereby ORDERED that: The parties shall comply with the discovery rulings during the conference. A telephone conference shall be held on July 16, 2012, at 9:30 a.m. Plaintiff's counsel shall initiate that conference by calling Chambers at (212) 805-6727. (Telephone Conference set for 7/16/2012 at 09:30 AM before Magistrate Judge Frank Maas.) (Signed by Magistrate Judge Frank Maas on 6/5/2012) Copies Sent By Chambers. (rjm) (Entered: 06/06/2012)",order order comply discovery ruling conference telephone conference hold initiate conference call send,,Motions,
"NOTICE OF APPEARANCE by Jeffrey Louis Benner on behalf of AIG Financial Products Corp., American International Group, Inc. (Benner, Jeffrey) (Entered: 06/13/2012)",notice appearance,,Notices,
"TRANSCRIPT of Proceedings re: CONFERNCE held on 6/5/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Jerry Harrison, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 7/13/2012. Redacted Transcript Deadline set for 7/23/2012. Release of Transcript Restriction set for 9/20/2012.(McGuirk, Kelly) (Entered: 06/19/2012)",confernce hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,Others,
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a CONFERNECE proceeding held on 6/5/12 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 06/19/2012)",notice official notice give official confernece proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others",
"NOTICE OF APPEARANCE by Ellison Sylvina Ward on behalf of AIG Financial Products Corp., American International Group, Inc. (Ward, Ellison) (Entered: 06/21/2012)",notice appearance,,Notices,
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Status Conference held on 6/28/2012. Conference held before Magistrate Judge MAAS (pl) (Entered: 06/29/2012),minute entry hold status conference hold conference hold maas,,Motions,
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Nathaniel H. Benforado dated 6/28/2012 re: Pursuant to the subpoena served on Paul Bradshaw on May 30, 2012, and the conference between the parties on June 28, 2012, Mr. Bradshaw is hereby ordered to testify in this matter, notwithstanding any obligations to American International Group, Inc. or AIG Financial Products Corp. pursuant to any confidentiality agreement or provision, except Mr. Bradshaw shall not reveal information that is subject to an attorney-client privilege held by AIG or AIG-FP. ENDORSEMENT: So ordered. (Signed by Magistrate Judge Frank Maas on 6/29/2012) (djc) (Entered: 06/29/2012)",endorsed letter address subpoena serve conference mr order testify notwithstanding obligation confidentiality provision except mr reveal subject attorneyclient privilege hold aigfp endorsement order,,Motions,
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higginson dated 7/02/2012 re: Brookfield respectfully submits this letter and requests a telephonic conference with the Court in the hopes of resolving this issue prior to our next conference in front of Your Honor. ENDORSEMENT: I see no need for a conference. Although The Reports and Exhibits and Appendices are lengthy, Quinn Emanuel is directed to submit a copy to me for in camera review. ( I will return my copy once I rule). (Signed by Magistrate Judge Frank Maas on 7/09/2012) (ama) (Entered: 07/09/2012)",endorsed letter address respectfully letter request telephonic conference hope resolve prior next conference front endorsement need conference although report appendix lengthy camera,,"Others, Motions",
"DISCOVERY ORDER : Accordingly, AIG is directed to produce to Brookfield the entire Technical Appendix to the Millman Report. Additionally, Quinn Emanuel is requested to retrieve from my Chambers the Report and Technical Appendix furnished to me for in camera review. SO ORDERED. (Signed by Magistrate Judge Frank Maas on 7/13/2012) Copies Sent By Chambers. (ama) (Entered: 07/13/2012)",discovery order produce entire technical appendix millman report additionally request retrieve report technical appendix furnish camera order send,,Others,
"SECOND REVISED SCHEDULING ORDER: This Second Revised Scheduling Order amends the relevant provisions of the Civil Case Management Plan and Scheduling Order dated February 14, 2011 and the Revised Scheduling Order dated April 23, 2012 as follows: SO ORDERED. Deposition due by 8/17/2012. Fact Discovery due by 8/17/2012. Expert Discovery due by 3/29/2013. (Signed by Magistrate Judge Frank Maas on 7/16/2012) (ama) Modified on 7/16/2012 (ama). (Entered: 07/16/2012)",revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order deposition due discovery due discovery due,revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order deposition due discovery due discovery due,,revise_schedule order revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order order deposition due discovery due discovery due
Set/Reset Deadlines: Expert Discovery due by 3/29/2013. (ama) (Entered: 07/16/2012),reset deadline discovery due,reset deadline discovery due,,reset deadline discovery due
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Telephone Conference held on 7/16/2012. (djc) (Entered: 07/24/2012),minute entry hold telephone conference hold,,Motions,
NOTICE OF CASE REASSIGNMENT to Judge Ronnie Abrams. Judge Paul G. Gardephe is no longer assigned to the case. (pgu) (Entered: 07/19/2012),notice reassignment longer,,Notices,
"JOINT STIPULATION AND ORDER CONCERNING PRODUCTION OF MILLIMAN TECHNICAL APPENDICES: IT IS HEREBY STIPULATED AND AGREED by the parties hereto, through their undersigned counsel that: 1. The production by AIG of the Technical Appendices is made pursuant to an understanding and agreement by the parties that the information contained and reflected therein is highly commercially sensitive to AIG. (Signed by Magistrate Judge Frank Maas on 7/23/2012) (mro) Modified on 7/24/2012 (mro). (Entered: 07/23/2012)",joint stipulation order production milliman technical appendix stipulate agreed hereto undersigned production technical appendix understanding contain reflect therein highly commercially sensitive,,Others,
"TRANSCRIPT of Proceedings re: CONFERNCE held on 7/16/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Carol Ganley, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 8/31/2012. Redacted Transcript Deadline set for 9/10/2012. Release of Transcript Restriction set for 11/8/2012.(McGuirk, Kelly) (Entered: 08/07/2012)",confernce hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,Others,
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a CONFERNCE proceeding held on 7/16/12 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 08/07/2012)",notice official notice give official confernce proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others",
"ORDER: As you may be aware, this case has been reassigned to my docket. All current deadlines, schedules and orders remain in effect, including referral of the case to Magistrate Judge Maas for general pretrial proceedings and the July 16, 2012 Second Revised Scheduling Order. Please review the Court's applicable Individual Rules and Practices (available at http://nysd.uscourts.gov/judge/Abrams). (Signed by Judge Ronnie Abrams on 8/8/2012) (ago) (Entered: 08/08/2012)",order aware reassign current deadline schedule order effect referral general pretrial revise schedule order please applicable individual rule practice,,Others,
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Telephone Conference held on 8/9/2012. (djc) (Entered: 08/20/2012),minute entry hold telephone conference hold,,Motions,
"TRANSCRIPT of Proceedings re: confernce held on 8/9/2012 before Magistrate Judge Frank Maas. Court Reporter/Transcriber: Toni Stanley, (212) 805-0300. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER. Redaction Request due 9/17/2012. Redacted Transcript Deadline set for 9/27/2012. Release of Transcript Restriction set for 11/26/2012.(McGuirk, Kelly) (Entered: 08/23/2012)",confernce hold reporter transcriber view public terminal purchase reporter transcriber deadline release obtain pacer redaction request due redact deadline release,,Others,
"NOTICE OF FILING OF OFFICIAL TRANSCRIPT Notice is hereby given that an official transcript of a confernce proceeding held on 8/9/12 has been filed by the court reporter/transcriber in the above-captioned matter. The parties have seven (7) calendar days to file with the court a Notice of Intent to Request Redaction of this transcript. If no such Notice is filed, the transcript may be made remotely electronically available to the public without redaction after 90 calendar days...(McGuirk, Kelly) (Entered: 08/23/2012)",notice official notice give official confernce proceed hold reporter transcriber abovecaptioned calendar notice intent request redaction notice remotely electronically available public without redaction calendar,,"Notices, Others",
"MOTION for Scott B. Wilkens to Appear Pro Hac Vice. Filing fee $ 200.00, receipt number 0208-7801460. Motion and supporting papers to be reviewed by Clerk's Office staff. Document filed by Brookfield Asset Management, Inc., Brysons International, Ltd.. (Attachments: # 1 Certificates of Good Standing, # 2 Text of Proposed Order, # 3 Certificate of Service)(Wilkens, Scottt) (Entered: 09/10/2012)",motion appear pro hac vice fee receipt number motion support staff ltd,,Motions,
">>>NOTICE REGARDING PRO HAC VICE MOTION. Regarding Document No. 188 MOTION for Scott B. Wilkens to Appear Pro Hac Vice. Filing fee $ 200.00, receipt number 0208-7801460. Motion and supporting papers to be reviewed by Clerk's Office staff.. The document has been reviewed and there are no deficiencies. (bcu) (Entered: 09/10/2012)",notice pro hac vice motion motion appear pro hac vice fee receipt number motion support staff deficiency,,"Notices, Motions",
"ORDER granting 188 Motion for SCOTT B WILKENS to Appear Pro Hac Vice (HEREBY ORDERED by Magistrate Judge Frank Maas)(Text Only Order) (Maas, Frank) (Entered: 09/11/2012)",order grant motion appear pro hac vice,,Motions,
"THIRD REVISED SCHEDULING ORDER: Plaintiffs' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by October 12, 2012. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by January 22, 2013. Plaintiffs' rebuttal expert reports, if any, shall be served by March 11, 2013. Expert Discovery due by 4/29/2013. (Signed by Magistrate Judge Frank Maas on 9/12/2012) (ft) (Entered: 09/13/2012)",third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery due,third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery due,,third revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery due
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 9/12/2012. (djc) (Entered: 09/17/2012),minute entry hold discovery hear hold,minute entry hold discovery hear hold,,
"ORDER. Pursuant to the conference held earlier today, it is hereby ORDERED that the parties shall comply with the discovery rulings during the conference. (Signed by Magistrate Judge Frank Maas on 9/12/2012) Copies Sent By Chambers. (rjm) (Entered: 09/18/2012)",order conference hold earlier today order comply discovery ruling conference send,,Motions,
"DISCOVERY ORDER. During a discovery conference on September 12, 2012, I reserved decision with respect to Brookfield's request that AIG's auditor, PriceWaterhouseCoopers LLP, be required to produce additional documents - at the Chartis subsidiary level - concerning AIG's loss reserves for its excess workers compensation and asbestos exposures. Having considered that matter further, the application is DENIED. (Signed by Magistrate Judge Frank Maas on 9/27/2012) Copies Sent By Chambers to Hon. Paul G. Gardephe United States District Judge. All counsel (via Fax). (rjm) (Entered: 09/28/2012)",discovery order discovery conference reserve decision request auditor produce chartis subsidiary level loss reserve excess worker compensation asbestos exposure consider deny send united,,"Others, Motions",
"FOURTH REVISED SCHEDULING ORDER: The parties to this action hereby submit this Fourth Revised Scheduling Order (""Fourth Revised Scheduling Order""). This Fourth Revised Scheduling Order amends the relevant provisions of the Civil) Case Management Plan and Scheduling Order dated February 14, 2011, the Second Revised Scheduling Order dated July 16, 2012 and the Third Revised Scheduling Order dated September 12,2012 as follows: Plaintiffs' expert disclosures are required by Federal Rule of Civil Procedure 26(a)(2) shall be served by November 20, 2012. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by March 1, 2013. Plaintiffs' rebuttal expert reports, if any shall be served by April 19, 2013. All expert discovery shall be completed by June 7, 2013. All demonstrative exhibits, including those to be used to illustrate the testimony of experts, need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the partied or ordered by the Court. ( Expert Discovery due by 6/7/2013.) (Signed by Magistrate Judge Frank Maas on 10/15/2012) (ago) (Entered: 10/15/2012)",fourth revise schedule order fourth revise schedule order fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order,fourth revise schedule order fourth revise schedule order fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order,,fourth revise_schedule order fourth revise_schedule order fourth revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order third revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Telephone Conference held on 10/15/2012. (rjm) (Entered: 10/16/2012),minute entry hold telephone conference hold,,Motions,
"DISCOVERY ORDER: Accordingly, with one exception, Brookfield will be required to respond to the requests. The exception relates to the 107 requests seeking confirmation that there is no document or witness that can establish particular facts. Brookfield is directed to respond to the remaining requests by November 12, 2012. Accordingly, with one exception, Brookfield will be required to respond to the requests. The exception relates to the 107 requests seeking confirmation that there is no document or witness that can establish particular facts. Brookfield is directed to respond to the remaining requests by November 12, 2012. ( Responses due by 11/12/2012) (Signed by Magistrate Judge Frank Maas on 10/24/2012) Copies Sent By Chambers. (pl) (Entered: 10/25/2012)",discovery order exception respond request exception request confirmation establish particular directed respond request exception respond request exception request confirmation establish particular directed respond request send,,"Others, Motions",
"FIFTH REVISED SCHEDULING ORDER: The parties to this action hereby submit this Fifth Revised Scheduling Order (""Fifth Revised Scheduling Order). This Fifth Revised Scheduling Order amends the relevant provisions ofthe Civil Case Management Plan and Scheduling Order dated February 14, 2011, the Second Revised Scheduling Order dated July 16, 2012, the Third Revised Scheduling Order dated September 12, 2012, and the Fourth Revised Scheduling Order dated October 15,2012 as follows: 1. Plaintiffs' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by December 20,2012; 2. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by April ll, 2013; 3. Plaintiffs' rebuttal expert reports, if any, shall be served by May 30, 2013; 4. All expert discovery shall be completed by July 18,2013; 5. All demonstrative exhibits, including those to be used to illustrate the testimony of experts, need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the parties or ordered by the Court. Expert Discovery due by 7/18/2013. (Signed by Magistrate Judge Frank Maas on 11/12/2012) (ago) (Entered: 11/13/2012)",fifth revise schedule order fifth revise schedule order fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due,fifth revise schedule order fifth revise schedule order fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due,,fifth revise_schedule order fifth revise_schedule order fifth revise_schedule order amends relevant provision ofthe civil management plan schedule order revise_schedule order third revise_schedule order fourth revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higginson dated 11/15/2012 re: Counsel requests that the Court endorse the parties' agreement to extend Brookfield's deadline to serve its responses to AIG's Amended Requests to Admit from November 12, 2012 to November 21, 2012. ENDORSEMENT: Approved. (Signed by Magistrate Judge Frank Maas on 11/16/2012) (ft) (Entered: 11/16/2012)",endorsed letter address request endorse extend deadline serve response amend request admit endorsement approve,,"Others, Other Answers, Answers to Complaints, Motions",
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higgison dated 11/26/2012 re: Plaintiff's counsel writes On November 16, 2012, Your Honor endorsed the parties' agreement to extend the deadline for Brookfield to serve its responses to AIG's Amended Requests to Admit (as further amended by this Court's Order dated October 24, 2012) to November 21, 2012. We learned on November 21 (the day before Thanksgiving) that an administrative error in our office had resulted in our client not having a chance to review the then-current draft of our responses. As a result, on November 21 we requested and AIG agreed that we could serve our responses by noon today (November 26). Accordingly, Brookfield respectfully requests that Your Honor endorse nunc pro tunc today's agreed-upon deadline, with which we have complied. ENDORSEMENT: Approved. (Signed by Magistrate Judge Frank Maas on 11/26/2012) (ago) Modified on 12/5/2012 (ago). (Entered: 11/26/2012)",endorsed letter address endorse extend deadline serve response amend request admit learn administrative office result client chance thencurrent draft response result request agreed could serve response noon today respectfully request endorse nunc pro tunc today agreedupon deadline comply endorsement approve,,"Others, Other Answers, Answers to Complaints, Motions",
"DISCOVERY ORDER: Brookfield's letter application seeking leave to serve a further subpoena on third-party witness Robert Willumstad, the former Chief Executive Officer of AIG is DENIED, for substantially the reasons set forth in Mr. Pickhardt's letter dated December 5, 2012, (Signed by Magistrate Judge Frank Maas on 12/6/2012) Copies Sent By Chambers via ECF. (js) (Entered: 12/07/2012)",discovery order letter leave serve subpoena thirdparty former chief executive officer deny substantially reason mr letter send via,,Motions,
"DISCOVERY ORDER: Finally, although Brookfield indicates that it has hand-delivered a reply letter, that missive has yet to arrive in my Chambers. I note that I did not grant permission to submit a reply letter, do not think one is necessary for my resolution of the issue before me, and do not intend to read it once it is received. SO ORDERED. (Signed by Magistrate Judge Frank Maas on 1/07/2013) Copies Sent By Chambers. (ama) (Entered: 01/07/2013)",discovery order finally although indicate handdelivered reply letter missive yet arrive note grant permission reply letter think necessary resolution intend read receive ordered send,,Other Answers,
"AMENDED ANSWER to 132 Amended Complaint, with JURY DEMAND. Document filed by AIG Financial Products Corp., American International Group, Inc.. (Ward, Ellison) (Entered: 01/09/2013)",amend answer amend complaint jury demand inc,,"Complaints, Answers to Complaints",
