Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 10/25/2011. (lmb) (Entered: 10/26/2011),,Frank Maas,Minute Entry for proceedings held before Magistrate Judge -NAME- -NAME- : Discovery Hearing held on 10/25/2011 . ( lmb ) ( Entered : 10/26/2011 ),Minute Entry for proceedings held before Magistrate Judge : Discovery Hearing held on 10/25/2011 . ( lmb ) ( Entered : 10/26/2011 ),minute entry hold discovery hear hold,,minute entry hold discovery hear hold,,['minute entry hold discovery hear hold .'],['minute entry hold discovery hear hold .'],['minute_entry_hold discovery_hear_hold .'],System Msg,N,
SEALED DOCUMENT placed in vault.(nm) (Entered: 11/09/2011),,,SEALED DOCUMENT placed in vault . ( nm ) ( Entered : 11/09/2011 ),SEALED DOCUMENT placed in vault . ( nm ) ( Entered : 11/09/2011 ),place vault,,place vault,,['document place vault .'],['document place vault .'],['document .'],System Msg,N,
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 11/22/2011. (rjm) (Entered: 11/28/2011),,Frank Maas,Minute Entry for proceedings held before Magistrate Judge -NAME- -NAME- : Discovery Hearing held on 11/22/2011 . ( rjm ) ( Entered : 11/28/2011 ),Minute Entry for proceedings held before Magistrate Judge : Discovery Hearing held on 11/22/2011 . ( rjm ) ( Entered : 11/28/2011 ),minute entry hold discovery hear hold,,minute entry hold discovery hear hold,,['minute entry hold discovery hear hold .'],['minute entry hold discovery hear hold .'],['minute_entry_hold discovery_hear_hold .'],System Msg,N,
"ENDORSED LETTER addressed to Magistrate Judge Frank Mass from Richard F. Ziegler dated 10/10/2012 re: Subject to the Court's approval, the parties have agreed to schedule a second fact witness deposition (other than Joseph Cassano) for a date in April2012, after the March 30 cut-off date. ENDORSEMENT: This Proposal is acceptable. (Signed by Magistrate Judge Frank Maas on 1/10/2012) (rdz) (Entered: 01/11/2012)",Court,Frank Mass Richard F. Ziegler Joseph Cassano Frank Maas,"ENDORSED LETTER addressed to Magistrate Judge -NAME- -NAME- from -NAME- -NAME- -NAME- dated 10/10/2012 re : Subject to the -ORG- 's approval , the parties have agreed to schedule a second fact witness deposition ( other than -NAME- -NAME- ) for a date in April2012 , after the March 30 cut-off date . ENDORSEMENT : This Proposal is acceptable . ( Signed by Magistrate Judge -NAME- -NAME- on 1/10/2012 ) ( rdz ) ( Entered : 01/11/2012 )","ENDORSED LETTER addressed to Magistrate Judge from dated 10/10/2012 re : Subject to the 's approval , the parties have agreed to schedule a second fact witness deposition ( other than ) for a date in April2012 , after the March 30 cut-off date . ENDORSEMENT : This Proposal is acceptable . ( Signed by Magistrate Judge on 1/10/2012 ) ( rdz ) ( Entered : 01/11/2012 )",endorsed letter address subject approval agree schedule deposition april2012 cutoff endorsement proposal acceptable,,endorsed letter address subject approval agree schedule deposition april2012 cutoff endorsement proposal acceptable,endorsed_letter_address subject approval agree schedule deposition april2012 cutoff endorsement proposal acceptable,"['endorsed letter address subject approval agree schedule deposition april2012 cutoff .', 'endorsement proposal acceptable .']","['endorsed letter address subject approval agree schedule deposition april2012 cutoff .', 'endorsement proposal acceptable .']","['endorsed_letter_address subject approval agree schedule deposition april2012 cutoff .', 'endorsement proposal acceptable .']",Letter to Court,Y,Triage
SUPPLEMENTAL STIPULATED CONFIDENTIALITY AGREEMENT AND PROTECTIVE ORDER...regarding procedures to be followed that shall govern the handling of confidential material... (Signed by Magistrate Judge Frank Maas on 2/15/2012) (mro) (Entered: 02/16/2012),,Frank Maas,SUPPLEMENTAL STIPULATED CONFIDENTIALITY AGREEMENT AND PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Magistrate Judge -NAME- -NAME- on 2/15/2012 ) ( mro ) ( Entered : 02/16/2012 ),SUPPLEMENTAL STIPULATED CONFIDENTIALITY AGREEMENT AND PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... ( Signed by Magistrate Judge on 2/15/2012 ) ( mro ) ( Entered : 02/16/2012 ),supplemental stipulate confidentiality protective order procedure govern handle confidential,,supplemental stipulate confidentiality protective order procedure govern handle confidential,supplemental stipulate confidentiality protective order procedure_govern_handle_confidential,['supplemental stipulate confidentiality protective order procedure govern handle confidential'],['supplemental stipulate confidentiality protective order procedure govern handle confidential'],['supplemental stipulate confidentiality protective order procedure_govern_handle_confidential'],Court's Order,Y,Triage
"DISCOVERY ORDER: I have reviewed in camera the minutes of the American International Group, Inc. Board of Directors meeting held on September 16, 2008, and direct that the following previously-redacted portions be disclosed to the plaintiff as set forth herein. (Signed by Magistrate Judge Frank Maas on 2/28/2012) Copies Faxed By Chambers. (djc) (Entered: 02/28/2012)","American International Group , Inc. Board of Directors",Frank Maas,"DISCOVERY ORDER : I have reviewed in camera the minutes of the -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- meeting held on September 16 , 2008 , and direct that the following previously-redacted portions be disclosed to the plaintiff as set forth herein . ( Signed by Magistrate Judge -NAME- -NAME- on 2/28/2012 ) Copies Faxed By Chambers . ( djc ) ( Entered : 02/28/2012 )","DISCOVERY ORDER : I have reviewed in camera the minutes of the meeting held on September 16 , 2008 , and direct that the following previously-redacted portions be disclosed to the plaintiff as set forth herein . ( Signed by Magistrate Judge on 2/28/2012 ) Copies Faxed By Chambers . ( djc ) ( Entered : 02/28/2012 )",discovery order camera minute meet hold previouslyredacted portion disclose herein fax,,discovery order camera minute meet hold previouslyredacted portion disclose herein fax,discovery order camera minute meet hold previouslyredacted portion disclose herein fax,"['discovery order camera minute meet hold previouslyredacted portion disclose herein .', 'fax .']","['discovery order camera minute meet hold previouslyredacted portion disclose herein .', 'fax .']","['discovery order camera minute meet hold previouslyredacted portion disclose herein .', 'fax .']",Court's Order,Y,Triage
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 4/16/2012. (ft) (Entered: 04/18/2012),,Frank Maas,Minute Entry for proceedings held before Magistrate Judge -NAME- -NAME- : Discovery Hearing held on 4/16/2012 . ( ft ) ( Entered : 04/18/2012 ),Minute Entry for proceedings held before Magistrate Judge : Discovery Hearing held on 4/16/2012 . ( ft ) ( Entered : 04/18/2012 ),minute entry hold discovery hear hold,,minute entry hold discovery hear hold,,['minute entry hold discovery hear hold .'],['minute entry hold discovery hear hold .'],['minute_entry_hold discovery_hear_hold .'],System Msg,N,
"REVISED SCHEDULING ORDER: The parties must complete fact discovery no later than July 13, 2012. The parties shall complete depositions of fact witnesses by July 13, 2012. All expert discovery shall be completed by February 8, 2013. (Signed by Magistrate Judge Frank Maas on 4/23/2012) (mro) Modified on 4/27/2012 (mro). (Entered: 04/24/2012)",,Frank Maas,"REVISED SCHEDULING ORDER : The parties must complete fact discovery no later than July 13 , 2012 . The parties shall complete depositions of fact witnesses by July 13 , 2012 . All expert discovery shall be completed by February 8 , 2013 . ( Signed by Magistrate Judge -NAME- -NAME- on 4/23/2012 ) ( mro ) Modified on 4/27/2012 ( mro ) . ( Entered : 04/24/2012 )","REVISED SCHEDULING ORDER : The parties must complete fact discovery no later than July 13 , 2012 . The parties shall complete depositions of fact witnesses by July 13 , 2012 . All expert discovery shall be completed by February 8 , 2013 . ( Signed by Magistrate Judge on 4/23/2012 ) ( mro ) Modified on 4/27/2012 ( mro ) . ( Entered : 04/24/2012 )",revise schedule order complete discovery complete deposition discovery complete,,revise schedule order complete discovery complete deposition discovery complete,revise_schedule order complete discovery complete deposition discovery complete,"['revise schedule order complete discovery .', 'complete deposition .', 'discovery complete .', '.']","['revise schedule order complete discovery .', 'complete deposition .', 'discovery complete .', '.']","['revise_schedule order complete discovery .', 'complete deposition .', 'discovery complete .', '.']",Discovery,Y,Triage
"ENDORSED LETTER addressed to Magistrate Judge Frank Maas from Carletta F. Higginson dated 4/23/12 re: Counsel writes on behalf of the parties to seek clarification of Your Honor's ruling concerning Brookfield's ability to continue the depositions of Messrs. Elias Habayeb and David Herzog. ENDORSEMENT: As to Point II, I should have been clearer: Brookfield wins! (Signed by Magistrate Judge Frank Maas on 4/23/2012) (mro) (Entered: 04/24/2012)",,Frank Maas Carletta F. Higginson Elias Habayeb David Herzog Frank Maas,"ENDORSED LETTER addressed to Magistrate Judge -NAME- -NAME- from -NAME- -NAME- -NAME- dated 4/23/12 re : Counsel writes on behalf of the parties to seek clarification of Your Honor 's ruling concerning Brookfield 's ability to continue the depositions of Messrs. -NAME- -NAME- and -NAME- -NAME- . ENDORSEMENT : As to Point II , I should have been clearer : Brookfield wins ! ( Signed by Magistrate Judge -NAME- -NAME- on 4/23/2012 ) ( mro ) ( Entered : 04/24/2012 )","ENDORSED LETTER addressed to Magistrate Judge from dated 4/23/12 re : Counsel writes on behalf of the parties to seek clarification of Your Honor 's ruling concerning Brookfield 's ability to continue the depositions of Messrs. and . ENDORSEMENT : As to Point II , I should have been clearer : Brookfield wins ! ( Signed by Magistrate Judge on 4/23/2012 ) ( mro ) ( Entered : 04/24/2012 )",endorsed letter address clarification rule ability continue deposition messrs endorsement point ii clearer win,,endorsed letter address clarification rule ability continue deposition messrs endorsement point ii clearer win,endorsed_letter_address clarification rule ability continue deposition messrs endorsement point ii clearer win,"['endorsed letter address clarification rule ability continue deposition messrs. .', 'endorsement point ii clearer win !']","['endorsed letter address clarification rule ability continue deposition messrs. .', 'endorsement point ii clearer win !']","['endorsed_letter_address clarification rule ability continue deposition messrs. .', 'endorsement point ii clearer win !']",Letter to Court,Y,Triage
"DISCOVERY ORDER: Accordingly, Brookfield's letter-request that AIG be required to produce a Rule 30(b)(6) witness to testifY with respect to such matters is DENIED. (Signed by Magistrate Judge Frank Maas on 5/31/2012) (cd) (Entered: 06/01/2012)",AIG,Frank Maas,"DISCOVERY ORDER : Accordingly , Brookfield 's letter-request that -ORG- be required to produce a Rule 30 ( b ) ( 6 ) witness to testifY with respect to such matters is DENIED . ( Signed by Magistrate Judge -NAME- -NAME- on 5/31/2012 ) ( cd ) ( Entered : 06/01/2012 )","DISCOVERY ORDER : Accordingly , Brookfield 's letter-request that be required to produce a Rule 30 ( b ) ( 6 ) witness to testifY with respect to such matters is DENIED . ( Signed by Magistrate Judge on 5/31/2012 ) ( cd ) ( Entered : 06/01/2012 )",discovery order letterrequest produce rule testify deny,,discovery order letterrequest produce rule testify deny,discovery order letterrequest produce rule testify deny,['discovery order letterrequest produce rule testify deny .'],['discovery order letterrequest produce rule testify deny .'],['discovery order letterrequest produce rule testify deny .'],Discover,Y,Triage
"SECOND REVISED SCHEDULING ORDER: This Second Revised Scheduling Order amends the relevant provisions of the Civil Case Management Plan and Scheduling Order dated February 14, 2011 and the Revised Scheduling Order dated April 23, 2012 as follows: SO ORDERED. Deposition due by 8/17/2012. Fact Discovery due by 8/17/2012. Expert Discovery due by 3/29/2013. (Signed by Magistrate Judge Frank Maas on 7/16/2012) (ama) Modified on 7/16/2012 (ama). (Entered: 07/16/2012)",,Frank Maas,"SECOND REVISED SCHEDULING ORDER : This Second Revised Scheduling Order amends the relevant provisions of the Civil Case Management Plan and Scheduling Order dated February 14 , 2011 and the Revised Scheduling Order dated April 23 , 2012 as follows : SO ORDERED . Deposition due by 8/17/2012 . Fact Discovery due by 8/17/2012 . Expert Discovery due by 3/29/2013 . ( Signed by Magistrate Judge -NAME- -NAME- on 7/16/2012 ) ( ama ) Modified on 7/16/2012 ( ama ) . ( Entered : 07/16/2012 )","SECOND REVISED SCHEDULING ORDER : This Second Revised Scheduling Order amends the relevant provisions of the Civil Case Management Plan and Scheduling Order dated February 14 , 2011 and the Revised Scheduling Order dated April 23 , 2012 as follows : SO ORDERED . Deposition due by 8/17/2012 . Fact Discovery due by 8/17/2012 . Expert Discovery due by 3/29/2013 . ( Signed by Magistrate Judge on 7/16/2012 ) ( ama ) Modified on 7/16/2012 ( ama ) . ( Entered : 07/16/2012 )",revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order deposition due discovery due discovery due,,revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order deposition due discovery due discovery due,revise_schedule order revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order order deposition due discovery due discovery due,"['revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order .', 'deposition due .', 'discovery due .', 'discovery due .', '.']","['revise schedule order revise schedule order amends relevant provision civil management plan schedule order revise schedule order order .', 'deposition due .', 'discovery due .', 'discovery due .', '.']","['revise_schedule order revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order order .', 'deposition due .', 'discovery due .', 'discovery due .', '.']",Court's Order,Y,Triage
Set/Reset Deadlines: Expert Discovery due by 3/29/2013. (ama) (Entered: 07/16/2012),,,Set/Reset Deadlines : Expert Discovery due by 3/29/2013 . ( ama ) ( Entered : 07/16/2012 ),Set/Reset Deadlines : Expert Discovery due by 3/29/2013 . ( ama ) ( Entered : 07/16/2012 ),reset deadline discovery due,,reset deadline discovery due,reset deadline discovery due,['setreset deadline discovery due .'],['setreset deadline discovery due .'],['setreset deadline discovery due .'],Court's Order,Y,Triage
"THIRD REVISED SCHEDULING ORDER: Plaintiffs' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by October 12, 2012. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by January 22, 2013. Plaintiffs' rebuttal expert reports, if any, shall be served by March 11, 2013. Expert Discovery due by 4/29/2013. (Signed by Magistrate Judge Frank Maas on 9/12/2012) (ft) (Entered: 09/13/2012)",,Frank Maas,"THIRD REVISED SCHEDULING ORDER : Plaintiffs ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by October 12 , 2012 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by January 22 , 2013 . Plaintiffs ' rebuttal expert reports , if any , shall be served by March 11 , 2013 . Expert Discovery due by 4/29/2013 . ( Signed by Magistrate Judge -NAME- -NAME- on 9/12/2012 ) ( ft ) ( Entered : 09/13/2012 )","THIRD REVISED SCHEDULING ORDER : Plaintiffs ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by October 12 , 2012 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by January 22 , 2013 . Plaintiffs ' rebuttal expert reports , if any , shall be served by March 11 , 2013 . Expert Discovery due by 4/29/2013 . ( Signed by Magistrate Judge on 9/12/2012 ) ( ft ) ( Entered : 09/13/2012 )",third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery due,,third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery due,third revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery due,"['third revise schedule order disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery due .']","['third revise schedule order disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery due .']","['third revise_schedule order disclosure_federal rule civil_procedure_serve .', 'disclosure_federal rule civil_procedure_serve .', 'rebuttal report serve .', 'discovery due .']",Discovery,Y,Triage
Minute Entry for proceedings held before Magistrate Judge Frank Maas: Discovery Hearing held on 9/12/2012. (djc) (Entered: 09/17/2012),,Frank Maas,Minute Entry for proceedings held before Magistrate Judge -NAME- -NAME- : Discovery Hearing held on 9/12/2012 . ( djc ) ( Entered : 09/17/2012 ),Minute Entry for proceedings held before Magistrate Judge : Discovery Hearing held on 9/12/2012 . ( djc ) ( Entered : 09/17/2012 ),minute entry hold discovery hear hold,,minute entry hold discovery hear hold,,['minute entry hold discovery hear hold .'],['minute entry hold discovery hear hold .'],['minute_entry_hold discovery_hear_hold .'],System Msg,N,
"FOURTH REVISED SCHEDULING ORDER: The parties to this action hereby submit this Fourth Revised Scheduling Order (""Fourth Revised Scheduling Order""). This Fourth Revised Scheduling Order amends the relevant provisions of the Civil) Case Management Plan and Scheduling Order dated February 14, 2011, the Second Revised Scheduling Order dated July 16, 2012 and the Third Revised Scheduling Order dated September 12,2012 as follows: Plaintiffs' expert disclosures are required by Federal Rule of Civil Procedure 26(a)(2) shall be served by November 20, 2012. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by March 1, 2013. Plaintiffs' rebuttal expert reports, if any shall be served by April 19, 2013. All expert discovery shall be completed by June 7, 2013. All demonstrative exhibits, including those to be used to illustrate the testimony of experts, need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the partied or ordered by the Court. ( Expert Discovery due by 6/7/2013.) (Signed by Magistrate Judge Frank Maas on 10/15/2012) (ago) (Entered: 10/15/2012)",Court,Frank Maas,"FOURTH REVISED SCHEDULING ORDER : The parties to this action hereby submit this Fourth Revised Scheduling Order ( `` Fourth Revised Scheduling Order '' ) . This Fourth Revised Scheduling Order amends the relevant provisions of the Civil ) Case Management Plan and Scheduling Order dated February 14 , 2011 , the Second Revised Scheduling Order dated July 16 , 2012 and the Third Revised Scheduling Order dated September 12,2012 as follows : Plaintiffs ' expert disclosures are required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by November 20 , 2012 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by March 1 , 2013 . Plaintiffs ' rebuttal expert reports , if any shall be served by April 19 , 2013 . All expert discovery shall be completed by June 7 , 2013 . All demonstrative exhibits , including those to be used to illustrate the testimony of experts , need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the partied or ordered by the -ORG- . ( Expert Discovery due by 6/7/2013 . ) ( Signed by Magistrate Judge -NAME- -NAME- on 10/15/2012 ) ( ago ) ( Entered : 10/15/2012 )","FOURTH REVISED SCHEDULING ORDER : The parties to this action hereby submit this Fourth Revised Scheduling Order ( `` Fourth Revised Scheduling Order '' ) . This Fourth Revised Scheduling Order amends the relevant provisions of the Civil ) Case Management Plan and Scheduling Order dated February 14 , 2011 , the Second Revised Scheduling Order dated July 16 , 2012 and the Third Revised Scheduling Order dated September 12,2012 as follows : Plaintiffs ' expert disclosures are required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by November 20 , 2012 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by March 1 , 2013 . Plaintiffs ' rebuttal expert reports , if any shall be served by April 19 , 2013 . All expert discovery shall be completed by June 7 , 2013 . All demonstrative exhibits , including those to be used to illustrate the testimony of experts , need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the partied or ordered by the . ( Expert Discovery due by 6/7/2013 . ) ( Signed by Magistrate Judge on 10/15/2012 ) ( ago ) ( Entered : 10/15/2012 )",fourth revise schedule order fourth revise schedule order fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order,,fourth revise schedule order fourth revise schedule order fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order,fourth revise_schedule order fourth revise_schedule order fourth revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order third revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon partied order,"['fourth revise schedule order fourth revise schedule order .', 'fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon partied order .']","['fourth revise schedule order fourth revise schedule order .', 'fourth revise schedule order amends relevant provision civil management plan schedule order revise schedule order third revise schedule order disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon partied order .']","['fourth revise_schedule order fourth revise_schedule order .', 'fourth revise_schedule order amends relevant provision civil management plan schedule order revise_schedule order third revise_schedule order disclosure_federal rule civil_procedure_serve .', 'disclosure_federal rule civil_procedure_serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon partied order .']",Discovery,Y,Triage
"FIFTH REVISED SCHEDULING ORDER: The parties to this action hereby submit this Fifth Revised Scheduling Order (""Fifth Revised Scheduling Order). This Fifth Revised Scheduling Order amends the relevant provisions ofthe Civil Case Management Plan and Scheduling Order dated February 14, 2011, the Second Revised Scheduling Order dated July 16, 2012, the Third Revised Scheduling Order dated September 12, 2012, and the Fourth Revised Scheduling Order dated October 15,2012 as follows: 1. Plaintiffs' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by December 20,2012; 2. Defendants' expert disclosures as required by Federal Rule of Civil Procedure 26(a)(2) shall be served by April ll, 2013; 3. Plaintiffs' rebuttal expert reports, if any, shall be served by May 30, 2013; 4. All expert discovery shall be completed by July 18,2013; 5. All demonstrative exhibits, including those to be used to illustrate the testimony of experts, need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the parties or ordered by the Court. Expert Discovery due by 7/18/2013. (Signed by Magistrate Judge Frank Maas on 11/12/2012) (ago) (Entered: 11/13/2012)",Court,Frank Maas,"FIFTH REVISED SCHEDULING ORDER : The parties to this action hereby submit this Fifth Revised Scheduling Order ( `` Fifth Revised Scheduling Order ) . This Fifth Revised Scheduling Order amends the relevant provisions ofthe Civil Case Management Plan and Scheduling Order dated February 14 , 2011 , the Second Revised Scheduling Order dated July 16 , 2012 , the Third Revised Scheduling Order dated September 12 , 2012 , and the Fourth Revised Scheduling Order dated October 15,2012 as follows : 1 . Plaintiffs ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by December 20,2012 ; 2 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by April ll , 2013 ; 3 . Plaintiffs ' rebuttal expert reports , if any , shall be served by May 30 , 2013 ; 4 . All expert discovery shall be completed by July 18,2013 ; 5 . All demonstrative exhibits , including those to be used to illustrate the testimony of experts , need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the parties or ordered by the -ORG- . Expert Discovery due by 7/18/2013 . ( Signed by Magistrate Judge -NAME- -NAME- on 11/12/2012 ) ( ago ) ( Entered : 11/13/2012 )","FIFTH REVISED SCHEDULING ORDER : The parties to this action hereby submit this Fifth Revised Scheduling Order ( `` Fifth Revised Scheduling Order ) . This Fifth Revised Scheduling Order amends the relevant provisions ofthe Civil Case Management Plan and Scheduling Order dated February 14 , 2011 , the Second Revised Scheduling Order dated July 16 , 2012 , the Third Revised Scheduling Order dated September 12 , 2012 , and the Fourth Revised Scheduling Order dated October 15,2012 as follows : 1 . Plaintiffs ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by December 20,2012 ; 2 . Defendants ' expert disclosures as required by Federal Rule of Civil Procedure 26 ( a ) ( 2 ) shall be served by April ll , 2013 ; 3 . Plaintiffs ' rebuttal expert reports , if any , shall be served by May 30 , 2013 ; 4 . All expert discovery shall be completed by July 18,2013 ; 5 . All demonstrative exhibits , including those to be used to illustrate the testimony of experts , need not be disclosed at the time expert reports are submitted but shall be disclosed at a time agreed upon by the parties or ordered by the . Expert Discovery due by 7/18/2013 . ( Signed by Magistrate Judge on 11/12/2012 ) ( ago ) ( Entered : 11/13/2012 )",fifth revise schedule order fifth revise schedule order fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due,,fifth revise schedule order fifth revise schedule order fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order disclosure federal rule civil procedure serve disclosure federal rule civil procedure serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due,fifth revise_schedule order fifth revise_schedule order fifth revise_schedule order amends relevant provision ofthe civil management plan schedule order revise_schedule order third revise_schedule order fourth revise_schedule order disclosure_federal rule civil_procedure_serve disclosure_federal rule civil_procedure_serve rebuttal report serve discovery complete demonstrative used illustrate testimony need disclose report disclose agree upon order discovery due,"['fifth revise schedule order fifth revise schedule order .', 'fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order .', 'disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon order .', 'discovery due .']","['fifth revise schedule order fifth revise schedule order .', 'fifth revise schedule order amends relevant provision ofthe civil management plan schedule order revise schedule order third revise schedule order fourth revise schedule order .', 'disclosure federal rule civil procedure serve .', 'disclosure federal rule civil procedure serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon order .', 'discovery due .']","['fifth revise_schedule order fifth revise_schedule order .', 'fifth revise_schedule order amends relevant provision ofthe civil management plan schedule order revise_schedule order third revise_schedule order fourth revise_schedule order .', 'disclosure_federal rule civil_procedure_serve .', 'disclosure_federal rule civil_procedure_serve .', 'rebuttal report serve .', 'discovery complete .', 'demonstrative use illustrate testimony need disclose report disclose agree upon order .', 'discovery due .']",Discovery,Y,Triage
SEALED DOCUMENT placed in vault.(nm) (Entered: 01/10/2013),,,SEALED DOCUMENT placed in vault . ( nm ) ( Entered : 01/10/2013 ),SEALED DOCUMENT placed in vault . ( nm ) ( Entered : 01/10/2013 ),place vault,,place vault,,['document place vault .'],['document place vault .'],['document .'],System Msg,N,
